,created_at,location,text
1,5/10/2019 17:18,"Seattle, WA",Increasing access to blockchain and ledger databases - #aws #allthingsdistributed  https://t.co/w4FoZGRWT5
2,5/9/2019 0:46,"Seattle, WA",Amazon S3 Path Deprecation Plan - The Rest of the Story - https://t.co/0C3epGdui7 #AWS https://t.co/AchjydsQWz
3,5/7/2019 23:41,"Seattle, WA",New on the #AWS Cost Management Blog - A Beginner's Guide to AWS Cost Management - https://t.co/TwI8Qp9Ayw https://t.co/QEaMdACfOr
4,5/8/2019 0:53,"Seattle, WA",New #AWS Quick Start - CloudBees Core on AWS - https://t.co/ldi1vCPUqh https://t.co/9Y66xrJ3nT
5,5/8/2019 17:06,"Seattle, WA",Automate #AWS account provisioning and server migration using AWS Service Catalog and CloudEndure from AWS Marketplace - https://t.co/mhqjWqFrOK https://t.co/MzTdJ5xQ29
6,5/8/2019 0:56,"Seattle, WA","What's New with #AWS - Week of May 6, 2019 - I interview @thedavedev to see what's new with Alexa &amp; Echo - https://t.co/5ZTvLZMZlN https://t.co/BFc7nX4vdU"
7,5/8/2019 17:04,"Seattle, WA",New #AWS Marketplace category: Financial Services Solutions - https://t.co/ljOR30ZAYN (CC: @awsmarketplace) https://t.co/lotc05nrsE
8,5/11/2019 16:00,"Philadelphia, PA, USA","“Alexa, join my meeting” – Join conference calls with Alexa, now open to all #Alexa users!” https://t.co/40h6pbCp7p #AWS #VoiceFirst https://t.co/ZdSSlnHH4q"
9,5/12/2019 6:13,,"UAE VMUG gathering , VMware Cloud on AWS  #vmug #uaevmug #vexpert #aws #uae #technology #cloud #vmware @uae_vmug @vmwarecloudaws @MyVMUG @vmware https://t.co/1OqnUHXArU"
10,5/12/2019 6:10,"Helsinki, Finland",Jenkins EC2 Windows slaves over ssh - threat or possibility <U+0001F914> At least they're working <U+0001F605> #nomoreconnectionproblems #AWS #EC2 #openssh #jenkins #jenkinsci #devops #CloudComputing @jenkinsci @AWS
11,5/10/2019 12:00,Raleigh,"This PORCUPINE knows his ZIPCODE ... And he has ""VISA""!!
#cherrybombbot powered by: #aws and #python"
12,5/8/2019 12:00,Raleigh,"Q:What do little WASPs want to be when they grow up?
A:The very best person they can possibly be.
#cherrybombbot powered by: #aws and #python"
13,5/10/2019 0:00,Raleigh,"When speculation has done its worst, two plus two still equals four.
-- S. Johnson
#cherrybombbot powered by: #aws and #python"
14,5/12/2019 0:00,Raleigh,"Now I'm concentrating on a specific tank battle toward the end of World War II!
#cherrybombbot powered by: #aws and #python"
15,5/10/2019 18:00,Raleigh,"""The glory of creation is in its infinite diversity.""
""And in the way our differences combine to create meaning and beauty.""
-- Dr. Miranda Jones and Spock, ""Is There in Truth No Beauty?"",
   stardate 5630.8
#cherrybombbot powered by: #aws and #python"
16,5/9/2019 18:00,Raleigh,"One tree to rule them all,
One tree to find them,
One tree to bring them all,
and to itself bind them.
-- Gavin Koch &lt;gavin@cygnus.com&gt;
#cherrybombbot powered by: #aws and #python"
17,5/9/2019 6:00,Raleigh,"Q:How many IBM 370's does it take to execute a job?
A:Four, three to hold it down, and one to rip its head off.
#cherrybombbot powered by: #aws and #python"
18,5/8/2019 0:00,Raleigh,"* JHM wonders what Joey did to earn ""I'd just like to say, for the record,
  that Joey rules.""
-- Seen on #Debian
#cherrybombbot powered by: #aws and #python"
19,5/11/2019 6:00,Raleigh,"Mouse has out-of-cheese-error
#cherrybombbot powered by: #aws and #python"
20,5/12/2019 6:00,Raleigh,"My nose feels like a bad Ronald Reagan movie ...
#cherrybombbot powered by: #aws and #python"
21,5/10/2019 6:00,Raleigh,"I have a VISION!  It's a RANCID double-FISHWICH on an ENRICHED BUN!!
#cherrybombbot powered by: #aws and #python"
22,5/8/2019 6:00,Raleigh,"How do I type ""for i in *.dvi do xdvi $i done"" in a GUI?
-- Discussion in comp.os.linux.misc on the intuitiveness of interfaces
#cherrybombbot powered by: #aws and #python"
23,5/11/2019 18:00,Raleigh,"Time is nature's way of making sure that everything doesn't happen at once.

Space is nature's way of making sure that everything doesn't happen to you.
#cherrybombbot powered by: #aws and #python"
24,5/11/2019 12:00,Raleigh,"System going down at 5 this afternoon to install scheduler bug.
#cherrybombbot powered by: #aws and #python"
25,5/9/2019 0:00,Raleigh,"We have found all life forms in the galaxy are capable of superior
development.
-- Kirk, ""The Gamesters of Triskelion"", stardate 3211.7
#cherrybombbot powered by: #aws and #python"
26,5/8/2019 18:00,Raleigh,"Stale file handle (next time use Tupperware(tm)!)
#cherrybombbot powered by: #aws and #python"
27,5/11/2019 0:00,Raleigh,"Write-only-memory subsystem too slow for this machine. Contact your local dealer.
#cherrybombbot powered by: #aws and #python"
28,5/9/2019 12:00,Raleigh,"Our missions are peaceful -- not for conquest.  When we do battle, it
is only because we have no choice.
-- Kirk, ""The Squire of Gothos"", stardate 2124.5
#cherrybombbot powered by: #aws and #python"
29,5/11/2019 5:35,Sri Lanka,"Image Upload and Retrieval from #S3 Using #AWS #API Gateway and #Lambda

<U+0001F517> https://t.co/CBsfLv23Ij 

#CloudComputing #Amazon #NodeJS #Tech #Technology #cloudsecurity #Innovation #Startups #DataScientist #BigData https://t.co/v6WL4FcRUy"
30,5/10/2019 6:40,Sri Lanka,"#Serverless Application for Anomaly Detection Using @SigmaIDE 
<U+0001F447> 
https://t.co/Bn4KpBTCKl 

#CloudComputing #CloudNative #AWS #FaaS #Java #Javascript #Nodejs #Python #rstats #BigData #DataScientists @SLAppForge @ThinkServerless"
31,5/9/2019 11:20,Sri Lanka,"Gain full observability of your #AWS functions 
<U+0001F449> https://t.co/CgTRqkDbyC 

#CloudComputing #CloudNative #AWS #GCP #FaaS #Java #Javascript #Nodejs #Python #rstats #BigData #DataScientists https://t.co/JOiIJAFfGH"
32,5/8/2019 12:40,Sri Lanka,"Try next-generation #serverless application developer #toolkit for enterprise-grade #CloudComputing requirements
<U+0001F517>
https://t.co/Q4fcs8hBcz

#CloudComputing #CloudNative #AWS #GCP #FaaS #Java #Javascript #Nodejs #Python #rstats #BigData #DataScientists @ThinkServerless @SigmaIDE"
